fwe.lower,aqem.code,gen,sp,streamzone_euc,streamzone_hyc,streamzone_erh,streamzone_mrh,streamzone_hrh,streamzone_epo,streamzone_mpo,streamzone_hpo,streamzone_lit,streamzone_pro,tachlong_cr,tachlong_er,tachlong_mr,tachlong_hr,tachlong_ep,tachlong_mp,tachlong_est,tachlong_out,tachtrans_rich,tachtrans_bcsa,tachtrans_ppdsa,tachtrans_mapb,tachtrans_tmpw,tachtrans_lake,tachtrans_gw,tachalt_low,tachalt_pie,tachalt_alt,tachsub_fbcp,tachsub_grvl,tachsub_sand,tachsub_silt,tachsub_macp,tachsub_micp,tachsub_twro,tachsub_odli,tachsub_mud,currpref_lib,currpref_lip,currpref_lrp,currpref_rlp,currpref_rhp,currpref_rhb,currpref_ind,tachcurr_null,tachcurr_slow,tachcurr_medium,tachcurr_fast,tachtemp_psy,tachtemp_the,tachtemp_eut,tachph_less4,tachph_4to4.5,tachph_4.5to5,tachph_5to5.5,tachph_5.5to6,tachph_gre6,tachsal_frw,tachsal_brw,tachsap_x,tachsap_o,tachsap_b,tachsap_a,tachsap_p,tachtroph_oli,tachtroph_meso,tachtroph_eu,feedingtype_gra,feedingtype_min,feedingtype_xyl,feedingtype_shr,feedingtype_gat,feedingtype_aff,feedingtype_pff,feedingtype_pre,feedingtype_par,feedingtype_oth,tachfood_mior,tachfood_detl1,tachfood_dpg1,tachfood_limi,tachfood_lima,tachfood_dag1,tachfood_lmic,tachfood_lmac,tachfood_vert,tachfeed_abs,tachfeed_dpf,tachfeed_shr,tachfeed_scr,tachfeed_fif,tachfeed_pie,tachfeed_pre,tachfeed_par,locotype_sws,locotype_swd,locotype_bub,locotype_spw,locotype_ses,locotype_oth,tachloco_flr,tachloco_ssw,tachloco_wsw,tachloco_crw,tachloco_bur,tachloco_int,tachloco_tat,tachloco_pat,tachrespir_teg,tachrespir_gil,tachrespir_pls,tachrespir_spi,tachrespir_ves,tachsize_less0.25,tachsize_0.25to0.5,tachsize_0.5to1,tachsize_1to2,tachsize_2to4,tachsize_4to8,tachsize_gre8,tachresis_egg,tachresis_coc,tachresis_hou,tachresis_did,tachresis_non,tachdisp_aquapass,tachdisp_aquaact,tachdisp_aerpass,tachdisp_aeract,tachaqua_egg,tachaqua_larva,tachaqua_nymph,tachaqua_adult,tachlong_less1,tachlong_gre1,tachcycle_less1,tachcycle_one,tachcycle_gre1,tachrepro_ovo,tachrepro_fie,tachrepro_cie,tachrepro_fic,tachrepro_frc,tachrepro_vec,tachrepro_tec,tachrepro_ase
Ecclisopteryx dalecarlica,5033,Ecclisopteryx,dalecarlica,0,3,4,1,1,1,0,0,0,0,3,5,2,1,1,0,0,0,2,0,0,0,0,1,0,3,2,0,3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,0,0,0,1,3,3,3,3,0,2,3,2,0,0,2,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0.09375,0.21875,5.84375,3.75,0.09375,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1.1,2.1,0,2,0,2,3,3,3,0,1,0,0,3,0,0,0,0,3,0,0,1,0
Ecclisopteryx madida,5035,Ecclisopteryx,madida,0,3,5,2,0,0,0,0,0,0,3,5,2,1,1,0,0,0,2,0,0,0,0,1,0,3,2,0,3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,0,0,0,1,3,3,3,3,0,2,3,2,0,0,2,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0.09375,0.21875,5.84375,3.75,0.09375,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1.1,2.1,0,2,0,2,3,3,3,0,1,0,0,3,0,0,0,0,3,0,0,1,0
Haplotaxis gordioides,5401,Haplotaxis,gordioides,0,1,2,2,2,1,0,0,1,1,2,1,1,1,1,1,0,0,3,2,0,3,0,1,2,3,1,0,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0,1,1,2,2,0,2,0,0,0,0,0,3,3,2,3,0,0,2,2,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,1,0,0,3,3,0,2,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
Eiseniella tetraedra,5075,Eiseniella,tetraedra,0,1,2,2,2,2,0,0,1,0,2,2,2,2,1,1,0,0,0,3,0,0,1,1,0,3,1,1,3,3,1,1,4,0,2,2,2,0,0,0,0,0,0,1,1,3,2,2,3,0,0,1,1,2,3,3,3,3,0,0,1,3,1,0,2,1,1,0,0,0,0,10,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,2,0,0,0,2,2,0,2,0,1,0,3,0,0,0,0,3,0,0,0,0
Stylaria lacustris,6934,Stylaria,lacustris,0,0,0,0,1,2,2,1,2,2,0,1,1,1,1,1,0,3,0,4,2,0,0,2,0,3,1,0,2,2,1,1,5,3,0,2,1,0,1,0,0,0,0,0,2,3,1,1,0.2,1,0,0,0,2,2,3,3,3,1,0,1,3,2,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,6,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,2,0,0,3,3,0,3,0,1,0,0,3,0,2,1,0,0,0,0,3
Hydrometra stagnorum,5546,Hydrometra,stagnorum,0,0,0,0,0,0,0,0,10,0,1,1,1,1,1,1,0,5,0,3,3,1,1,3,0,3,0,0,3,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,3,3,0,0,NA,NA,NA,0,0,1,1,1,3,3,1,0,0,2,3,0,1,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,3,0,1,3,0,1,0,2,0,2,3,0,0,3,1,0,0,1,0,0,3,0,0
Aphelocheirus aestivalis,4335,Aphelocheirus,aestivalis,0,0,0,0,2,8,0,0,0,0,0,0,0,3,3,3,0,1,3,1,0,0,0,1,0,3,0,0,5,3,1,1,3,0,1,1,0,0,0,0,0,0,1,0,0,2,3,2,NA,NA,NA,0,0,0,0,0,3,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,5,0,3,0,0,2,3,3,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,3,3,0,0,3,3,0,3,0,3,0,3,0,0,0,3,0,0,0,0,0
Asellus aquaticus,8691,Asellus,aquaticus,0,0,1,1,1,2,2,1,2,0,2,2,2,2,2,2,2,2,3,5,3,0,0,2,0,3,0,0,1,1,1,0,5,3,2,3,1,0,0,0,0,0,0,1,3,3,0,0,NA,NA,NA,1,1,1,2,3,3,3,2,0,0,2,3,1,1,3,2,3,0,0,3,4,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,3,0,0,0,3,3,0,3,3,1,0,1,3,3,0,0,0,0,0,0,0
Jaera istri,8700,Jaera,istri,0,0,0,0,0,4,3,3,0,0,0,0,0,0,4,3,3,0,0,3,0,0,0,0,0,3,0,0,4,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,2,3,1,0,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,1,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,3,1,0,0,3,3,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0
Lype reducta,5921,Lype,reducta,0,1,4,2,1,1,0,0,1,0,2,2,2,2,1,0,1,1,0,3,1,0,0,1,0,3,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,1,1,1,2,3,3,1,0,1,3,1,0,0,2,2,8,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,3,1,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,1,1,1,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0
Lype phaeopa,5920,Lype,phaeopa,0,0,0,3,3,2,0,0,2,0,2,2,2,2,1,0,1,1,0,3,1,0,0,1,0,3,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,1,1,1,2,3,3,1,0,1,3,1,0,0,2,2,8,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,3,1,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,1,1,1,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0
Adicella reducta,4212,Adicella,reducta,0,0,0,5,5,0,0,0,0,0,4,3,1,1,0,0,0,2,0,2,0,0,2,0,0,3,1,0,2,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,1,3,1,0,0.5,0.5,0,1,2,3,3,3,3,3,0,2,3,2,0,0,3,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Ancylus fluviatilis,4310,Ancylus,fluviatilis,0,1,2,2,2,2,0,0,1,0,2,3,4,1,1,1,0,1,3,3,0,0,1,1,0,3,2,1,5,4,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,3,2,0,1,0,0,0,0,1,1,3,3,2,1,2,2,2,0,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,1,1,0,3,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,0
Anisus vortex,4318,Anisus,vortex,0,0,0,0,0,2,2,2,4,0,0,0,1,2,2,1,0,4,0,3,2,0,3,0,0,3,0,0,3,1,0,0,5,1,0,0,3,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1,1,3,3,2,0,1,3,1,0,3,2,0,5,0,0,3,0,0,0,0,0,2,0,0,3,4,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,1,0,1,3,0,2,1,0,0,3,0,0,1,3,0,0,3,0,0,0,0,3,0,0,0,0
Anomalopterygella chauviniana,4327,Anomalopterygella,chauviniana,0,0,2,5,3,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,3,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,1,3,3,3,3,0,1,3,2,1,0,2,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0.09375,0.21875,5.84375,3.75,0.09375,0,0,0,5,0,0,0,0,2,2,0,0,0,0,0,3,1,0,0,0,0,0,0,1.1,2.1,0,2,0,2,3,3,3,0,1,0,0,3,0,0,0,0,3,0,0,1,0
Bathyomphalus contortus,4433,Bathyomphalus,contortus,0,0,0,0,1,2,2,2,3,0,0,0,3,2,2,0,0,5,0,2,3,0,3,0,0,3,0,0,3,1,0,0,5,1,0,0,3,0,0,1,0,0,0,0,3,2,0,0,0,1,0,1,1,1,1,3,3,3,1,0,2,3,1,0,3,1,0,5,0,0,3,0,0,0,0,0,2,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,7,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,2,1,0,0,3,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,0
Beraeodes minutus,4444,Beraeodes,minutus,1,2,4,2,1,0,0,0,0,0,1,3,1,0,0,0,0,1,1,3,2,0,0,2,0,3,1,0,0,0,2,0,3,0,4,3,0,0,0,0,0,0,0,1,1,3,1,0,2.333333333,0,0,0,0,0,1,1,3,3,0,0,3,1,1,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,3,3,3,0,2,0,0,3,0,0,0,0,2,1,0,0,0
Cordulegaster boltonii,4740,Cordulegaster,boltonii,0,3,3,2,1,0,0,0,1,0,1,1,2,0,1,1,0,1,5,1,0,0,0,0,0,3,2,0,1,3,3,2,0,0,0,2,3,0,0,0,0,0,1,0,0,2,2,1,1,0,0,0,0,2,3,3,2,3,0,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,0,1,4,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,2,0,0,3,2,3,0,0,0,3,3,0,0,0,3,0,0,0,0,1,0
Cordulegaster bidentata,7410,Cordulegaster,bidentata,3,3,2,2,0,0,0,0,0,0,1,1,2,0,1,1,0,1,5,1,0,0,0,0,0,3,2,0,1,3,3,2,0,0,0,2,3,0,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,2,3,3,2,3,0,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,0,1,4,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,2,0,0,3,2,3,0,0,0,3,3,0,0,0,3,0,0,0,0,1,0
Dikerogammarus villosus,7517,Dikerogammarus,villosus,0,0,0,0,0,4,3,3,0,0,0,0,0,0,3,5,5,1,4,4,0,0,0,2,0,3,0,0,5,2,0,0,5,0,5,3,0,0,0,0,0.666666667,0.25,0,0.083333333,1,3,2,0,0,1,0,0,0,0,0,1,3,3,2,0,1,3,1,0,0,2,2,1,0,0,2,2,0,0,3,0,2,0,1,2,3,1,2,2,5,0,0,0,4,1,0,0,1,0,0,5.333333333,0,4.666666667,0,0,0,0,3,2,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,2,0,0,3,3,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0
Diura bicaudata,4988,Diura,bicaudata,1,4,5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,0,0,0,0,2,0,1,3,0,2,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,0,1,3,3,3,3,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,3,0,0,2,0,1,2,0,1,3,3,0,0,1,3,3,2,0,0,0,0,1,3,0,0,0
Galba truncatula,5284,Galba,truncatula,1,2,1,1,1,1,0,0,3,0,1,3,2,1,1,1,0,4,0,3,2,2,3,0,0,3,3,1,3,1,0,0,4,1,2,0,3,0,0,1,0,0,0,0,1,1,2,0,0,2,0,1,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,3,0,0,3,2,0,0,0,0,2,0,1,3,4,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,3,7,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,1,0,0,3,0,0,1,3,0,0,0,3,0,0,0,3,0,0,0,0
Goera pilosa,5329,Goera,pilosa,0,0,0,0,5,3,0,0,2,0,0,1,5,3,2,1,1,2,2,2,0,0,0,2,0,3,0,0,4,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,3,1,2,0,0,0,0,0,0,1,3,3,1,0,1,3,2,0,2,3,0,9,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,1,1,2,3,3,3,0,3,0,0,3,0,0,0,2,0,0,0,0,0
Habroleptoides confusa,5367,Habroleptoides,confusa,0,2,2,3,2,1,0,0,0,0,1,3,5,2,1,0,0,0,0,3,0,0,0,0,0,2,2,1,3,2,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,2,2,0,NA,NA,NA,0,0,0,0,1,3,3,0,1,3,2,0,0,3,1,0,0,0,0,0,10,0,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,5,0,0,0,0,0,3,1,0,0,0,1,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,2,1,1,1,3,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Helobdella stagnalis,5413,Helobdella,stagnalis,0,0,0,1,2,2,2,1,2,0,0,0,2,2,2,2,0,2,1,1,2,0,1,2,0,3,0,0,2,0,0,0,5,0,0,3,0,0,0,0,0,0,0,1,2,3,1,0,NA,NA,NA,1,1,1,2,3,3,3,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,4,1,0,1,0,3,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,1,1,0,0,3,3,0,3,3,1,0,3,1,2,0,0,0,1,0,0,0
