code,Year,Month,Day,Hour,Temp
2011_3_30_9,2011,3,30,9,NA
2011_3_30_10,2011,3,30,10,7.079
2011_3_30_11,2011,3,30,11,NA
2011_3_30_12,2011,3,30,12,9.373
2011_3_30_13,2011,3,30,13,NA
2011_3_30_14,2011,3,30,14,10.161
2011_3_30_15,2011,3,30,15,NA
2011_3_30_16,2011,3,30,16,10.748
2011_3_30_17,2011,3,30,17,NA
2011_3_30_18,2011,3,30,18,10.455
2011_3_30_19,2011,3,30,19,NA
2011_3_30_20,2011,3,30,20,9.768
2011_3_30_21,2011,3,30,21,NA
2011_3_30_22,2011,3,30,22,9.275
2011_3_30_23,2011,3,30,23,NA
2011_3_31_0,2011,3,31,0,8.779
2011_3_31_1,2011,3,31,1,NA
2011_3_31_2,2011,3,31,2,8.481
2011_3_31_3,2011,3,31,3,NA
2011_3_31_4,2011,3,31,4,8.481
2011_3_31_5,2011,3,31,5,NA
2011_3_31_6,2011,3,31,6,8.481
2011_3_31_7,2011,3,31,7,NA
2011_3_31_8,2011,3,31,8,8.581
2011_3_31_9,2011,3,31,9,NA
2011_3_31_10,2011,3,31,10,8.978
2011_3_31_11,2011,3,31,11,NA
2011_3_31_12,2011,3,31,12,9.768
2011_3_31_13,2011,3,31,13,NA
2011_3_31_14,2011,3,31,14,9.965
2011_3_31_15,2011,3,31,15,NA
2011_3_31_16,2011,3,31,16,9.866
2011_3_31_17,2011,3,31,17,NA
2011_3_31_18,2011,3,31,18,9.768
2011_3_31_19,2011,3,31,19,NA
2011_3_31_20,2011,3,31,20,9.669
2011_3_31_21,2011,3,31,21,NA
2011_3_31_22,2011,3,31,22,9.571
2011_3_31_23,2011,3,31,23,NA
2011_4_1_0,2011,4,1,0,9.669
2011_4_1_1,2011,4,1,1,NA
2011_4_1_2,2011,4,1,2,9.669
2011_4_1_3,2011,4,1,3,NA
2011_4_1_4,2011,4,1,4,9.571
2011_4_1_5,2011,4,1,5,NA
2011_4_1_6,2011,4,1,6,9.571
2011_4_1_7,2011,4,1,7,NA
2011_4_1_8,2011,4,1,8,9.669
2011_4_1_9,2011,4,1,9,NA
2011_4_1_10,2011,4,1,10,10.357
2011_4_1_11,2011,4,1,11,NA
2011_4_1_12,2011,4,1,12,11.722
2011_4_1_13,2011,4,1,13,NA
2011_4_1_14,2011,4,1,14,11.819
2011_4_1_15,2011,4,1,15,NA
2011_4_1_16,2011,4,1,16,11.916
2011_4_1_17,2011,4,1,17,NA
2011_4_1_18,2011,4,1,18,11.722
2011_4_1_19,2011,4,1,19,NA
2011_4_1_20,2011,4,1,20,11.041
2011_4_1_21,2011,4,1,21,NA
2011_4_1_22,2011,4,1,22,10.259
2011_4_1_23,2011,4,1,23,NA
2011_4_2_0,2011,4,2,0,9.571
2011_4_2_1,2011,4,2,1,NA
2011_4_2_2,2011,4,2,2,8.978
2011_4_2_3,2011,4,2,3,NA
2011_4_2_4,2011,4,2,4,8.481
2011_4_2_5,2011,4,2,5,NA
2011_4_2_6,2011,4,2,6,8.082
2011_4_2_7,2011,4,2,7,NA
2011_4_2_8,2011,4,2,8,8.182
2011_4_2_9,2011,4,2,9,NA
2011_4_2_10,2011,4,2,10,9.373
2011_4_2_11,2011,4,2,11,NA
2011_4_2_12,2011,4,2,12,11.916
2011_4_2_13,2011,4,2,13,NA
2011_4_2_14,2011,4,2,14,13.942
2011_4_2_15,2011,4,2,15,NA
2011_4_2_16,2011,4,2,16,14.517
2011_4_2_17,2011,4,2,17,NA
2011_4_2_18,2011,4,2,18,13.75
2011_4_2_19,2011,4,2,19,NA
2011_4_2_20,2011,4,2,20,12.401
2011_4_2_21,2011,4,2,21,NA
2011_4_2_22,2011,4,2,22,11.334
2011_4_2_23,2011,4,2,23,NA
2011_4_3_0,2011,4,3,0,10.455
2011_4_3_1,2011,4,3,1,NA
2011_4_3_2,2011,4,3,2,9.866
2011_4_3_3,2011,4,3,3,NA
2011_4_3_4,2011,4,3,4,9.373
2011_4_3_5,2011,4,3,5,NA
2011_4_3_6,2011,4,3,6,8.879
2011_4_3_7,2011,4,3,7,NA
2011_4_3_8,2011,4,3,8,9.077
2011_4_3_9,2011,4,3,9,NA
2011_4_3_10,2011,4,3,10,10.357
2011_4_3_11,2011,4,3,11,NA
2011_4_3_12,2011,4,3,12,12.401
2011_4_3_13,2011,4,3,13,NA
2011_4_3_14,2011,4,3,14,14.23
2011_4_3_15,2011,4,3,15,NA
2011_4_3_16,2011,4,3,16,14.421
2011_4_3_17,2011,4,3,17,NA
2011_4_3_18,2011,4,3,18,13.75
2011_4_3_19,2011,4,3,19,NA
2011_4_3_20,2011,4,3,20,12.787
2011_4_3_21,2011,4,3,21,NA
2011_4_3_22,2011,4,3,22,12.11
2011_4_3_23,2011,4,3,23,NA
2011_4_4_0,2011,4,4,0,11.722
2011_4_4_1,2011,4,4,1,NA
2011_4_4_2,2011,4,4,2,11.334
2011_4_4_3,2011,4,4,3,NA
2011_4_4_4,2011,4,4,4,10.944
2011_4_4_5,2011,4,4,5,NA
2011_4_4_6,2011,4,4,6,10.455
2011_4_4_7,2011,4,4,7,NA
2011_4_4_8,2011,4,4,8,9.965
2011_4_4_9,2011,4,4,9,NA
2011_4_4_10,2011,4,4,10,10.063
2011_4_4_11,2011,4,4,11,NA
2011_4_4_12,2011,4,4,12,10.651
2011_4_4_13,2011,4,4,13,NA
2011_4_4_14,2011,4,4,14,11.139
2011_4_4_15,2011,4,4,15,NA
2011_4_4_16,2011,4,4,16,11.916
2011_4_4_17,2011,4,4,17,NA
2011_4_4_18,2011,4,4,18,11.139
2011_4_4_19,2011,4,4,19,NA
2011_4_4_20,2011,4,4,20,10.161
2011_4_4_21,2011,4,4,21,NA
2011_4_4_22,2011,4,4,22,9.571
2011_4_4_23,2011,4,4,23,NA
2011_4_5_0,2011,4,5,0,9.275
2011_4_5_1,2011,4,5,1,NA
2011_4_5_2,2011,4,5,2,8.879
2011_4_5_3,2011,4,5,3,NA
2011_4_5_4,2011,4,5,4,8.282
2011_4_5_5,2011,4,5,5,NA
2011_4_5_6,2011,4,5,6,7.682
2011_4_5_7,2011,4,5,7,NA
2011_4_5_8,2011,4,5,8,7.682
2011_4_5_9,2011,4,5,9,NA
2011_4_5_10,2011,4,5,10,8.779
2011_4_5_11,2011,4,5,11,NA
2011_4_5_12,2011,4,5,12,10.357
2011_4_5_13,2011,4,5,13,NA
2011_4_5_14,2011,4,5,14,11.431
2011_4_5_15,2011,4,5,15,NA
2011_4_5_16,2011,4,5,16,11.625
2011_4_5_17,2011,4,5,17,NA
2011_4_5_18,2011,4,5,18,11.236
2011_4_5_19,2011,4,5,19,NA
2011_4_5_20,2011,4,5,20,10.553
2011_4_5_21,2011,4,5,21,NA
2011_4_5_22,2011,4,5,22,10.259
2011_4_5_23,2011,4,5,23,NA
2011_4_6_0,2011,4,6,0,9.965
2011_4_6_1,2011,4,6,1,NA
2011_4_6_2,2011,4,6,2,9.768
2011_4_6_3,2011,4,6,3,NA
2011_4_6_4,2011,4,6,4,9.571
2011_4_6_5,2011,4,6,5,NA
2011_4_6_6,2011,4,6,6,9.472
2011_4_6_7,2011,4,6,7,NA
2011_4_6_8,2011,4,6,8,9.669
2011_4_6_9,2011,4,6,9,NA
2011_4_6_10,2011,4,6,10,10.161
2011_4_6_11,2011,4,6,11,NA
2011_4_6_12,2011,4,6,12,11.041
2011_4_6_13,2011,4,6,13,NA
2011_4_6_14,2011,4,6,14,12.594
2011_4_6_15,2011,4,6,15,NA
2011_4_6_16,2011,4,6,16,13.461
2011_4_6_17,2011,4,6,17,NA
2011_4_6_18,2011,4,6,18,13.076
2011_4_6_19,2011,4,6,19,NA
2011_4_6_20,2011,4,6,20,12.013
2011_4_6_21,2011,4,6,21,NA
2011_4_6_22,2011,4,6,22,11.236
2011_4_6_23,2011,4,6,23,NA
2011_4_7_0,2011,4,7,0,10.651
2011_4_7_1,2011,4,7,1,NA
2011_4_7_2,2011,4,7,2,10.063
2011_4_7_3,2011,4,7,3,NA
2011_4_7_4,2011,4,7,4,9.669
2011_4_7_5,2011,4,7,5,NA
2011_4_7_6,2011,4,7,6,9.176
2011_4_7_7,2011,4,7,7,NA
2011_4_7_8,2011,4,7,8,9.373
2011_4_7_9,2011,4,7,9,NA
2011_4_7_10,2011,4,7,10,10.944
2011_4_7_11,2011,4,7,11,NA
2011_4_7_12,2011,4,7,12,13.461
2011_4_7_13,2011,4,7,13,NA
2011_4_7_14,2011,4,7,14,14.996
2011_4_7_15,2011,4,7,15,NA
2011_4_7_16,2011,4,7,16,14.996
2011_4_7_17,2011,4,7,17,NA
2011_4_7_18,2011,4,7,18,13.846
2011_4_7_19,2011,4,7,19,NA
2011_4_7_20,2011,4,7,20,12.98
2011_4_7_21,2011,4,7,21,NA
2011_4_7_22,2011,4,7,22,12.497
2011_4_7_23,2011,4,7,23,NA
2011_4_8_0,2011,4,8,0,11.722
2011_4_8_1,2011,4,8,1,NA
2011_4_8_2,2011,4,8,2,11.139
2011_4_8_3,2011,4,8,3,NA
2011_4_8_4,2011,4,8,4,10.357
2011_4_8_5,2011,4,8,5,NA
2011_4_8_6,2011,4,8,6,9.768
2011_4_8_7,2011,4,8,7,NA
2011_4_8_8,2011,4,8,8,9.669
2011_4_8_9,2011,4,8,9,NA
2011_4_8_10,2011,4,8,10,10.651
2011_4_8_11,2011,4,8,11,NA
2011_4_8_12,2011,4,8,12,12.497
2011_4_8_13,2011,4,8,13,NA
2011_4_8_14,2011,4,8,14,13.942
2011_4_8_15,2011,4,8,15,NA
2011_4_8_16,2011,4,8,16,14.134
2011_4_8_17,2011,4,8,17,NA
2011_4_8_18,2011,4,8,18,13.365
2011_4_8_19,2011,4,8,19,NA
2011_4_8_20,2011,4,8,20,12.207
2011_4_8_21,2011,4,8,21,NA
2011_4_8_22,2011,4,8,22,11.334
2011_4_8_23,2011,4,8,23,NA
2011_4_9_0,2011,4,9,0,10.748
2011_4_9_1,2011,4,9,1,NA
2011_4_9_2,2011,4,9,2,10.161
2011_4_9_3,2011,4,9,3,NA
2011_4_9_4,2011,4,9,4,9.571
2011_4_9_5,2011,4,9,5,NA
2011_4_9_6,2011,4,9,6,8.879
2011_4_9_7,2011,4,9,7,NA
2011_4_9_8,2011,4,9,8,8.779
2011_4_9_9,2011,4,9,9,NA
2011_4_9_10,2011,4,9,10,9.965
2011_4_9_11,2011,4,9,11,NA
2011_4_9_12,2011,4,9,12,12.013
2011_4_9_13,2011,4,9,13,NA
2011_4_9_14,2011,4,9,14,13.654
2011_4_9_15,2011,4,9,15,NA
2011_4_9_16,2011,4,9,16,13.846
2011_4_9_17,2011,4,9,17,NA
2011_4_9_18,2011,4,9,18,13.076
2011_4_9_19,2011,4,9,19,NA
2011_4_9_20,2011,4,9,20,11.819
2011_4_9_21,2011,4,9,21,NA
2011_4_9_22,2011,4,9,22,10.651
2011_4_9_23,2011,4,9,23,NA
2011_4_10_0,2011,4,10,0,9.768
2011_4_10_1,2011,4,10,1,NA
2011_4_10_2,2011,4,10,2,8.978
2011_4_10_3,2011,4,10,3,NA
2011_4_10_4,2011,4,10,4,8.382
2011_4_10_5,2011,4,10,5,NA
2011_4_10_6,2011,4,10,6,7.882
2011_4_10_7,2011,4,10,7,NA
2011_4_10_8,2011,4,10,8,7.983
2011_4_10_9,2011,4,10,9,NA
2011_4_10_10,2011,4,10,10,9.373
2011_4_10_11,2011,4,10,11,NA
2011_4_10_12,2011,4,10,12,11.819
2011_4_10_13,2011,4,10,13,NA
2011_4_10_14,2011,4,10,14,13.75
2011_4_10_15,2011,4,10,15,NA
2011_4_10_16,2011,4,10,16,14.23
2011_4_10_17,2011,4,10,17,NA
2011_4_10_18,2011,4,10,18,13.558
2011_4_10_19,2011,4,10,19,NA
2011_4_10_20,2011,4,10,20,12.207
2011_4_10_21,2011,4,10,21,NA
2011_4_10_22,2011,4,10,22,11.041
2011_4_10_23,2011,4,10,23,NA
2011_4_11_0,2011,4,11,0,10.063
2011_4_11_1,2011,4,11,1,NA
2011_4_11_2,2011,4,11,2,9.373
2011_4_11_3,2011,4,11,3,NA
2011_4_11_4,2011,4,11,4,8.779
2011_4_11_5,2011,4,11,5,NA
2011_4_11_6,2011,4,11,6,8.282
2011_4_11_7,2011,4,11,7,NA
2011_4_11_8,2011,4,11,8,8.481
2011_4_11_9,2011,4,11,9,NA
2011_4_11_10,2011,4,11,10,9.866
2011_4_11_11,2011,4,11,11,NA
2011_4_11_12,2011,4,11,12,12.013
2011_4_11_13,2011,4,11,13,NA
2011_4_11_14,2011,4,11,14,13.846
2011_4_11_15,2011,4,11,15,NA
2011_4_11_16,2011,4,11,16,14.038
2011_4_11_17,2011,4,11,17,NA
2011_4_11_18,2011,4,11,18,13.558
2011_4_11_19,2011,4,11,19,NA
2011_4_11_20,2011,4,11,20,12.304
2011_4_11_21,2011,4,11,21,NA
2011_4_11_22,2011,4,11,22,11.334
2011_4_11_23,2011,4,11,23,NA
2011_4_12_0,2011,4,12,0,10.748
2011_4_12_1,2011,4,12,1,NA
2011_4_12_2,2011,4,12,2,10.553
2011_4_12_3,2011,4,12,3,NA
2011_4_12_4,2011,4,12,4,10.553
2011_4_12_5,2011,4,12,5,NA
2011_4_12_6,2011,4,12,6,10.455
2011_4_12_7,2011,4,12,7,NA
2011_4_12_8,2011,4,12,8,10.161
2011_4_12_9,2011,4,12,9,NA
2011_4_12_10,2011,4,12,10,10.553
2011_4_12_11,2011,4,12,11,NA
2011_4_12_12,2011,4,12,12,10.846
2011_4_12_13,2011,4,12,13,NA
2011_4_12_14,2011,4,12,14,11.722
2011_4_12_15,2011,4,12,15,NA
2011_4_12_16,2011,4,12,16,11.334
2011_4_12_17,2011,4,12,17,NA
2011_4_12_18,2011,4,12,18,10.748
2011_4_12_19,2011,4,12,19,NA
2011_4_12_20,2011,4,12,20,9.866
2011_4_12_21,2011,4,12,21,NA
2011_4_12_22,2011,4,12,22,9.077
2011_4_12_23,2011,4,12,23,NA
2011_4_13_0,2011,4,13,0,8.282
2011_4_13_1,2011,4,13,1,NA
2011_4_13_2,2011,4,13,2,7.782
2011_4_13_3,2011,4,13,3,NA
