"","SppCode","sYryly_Temp","poly.sDOY..2.1","poly.sDOY..2.2","Ldens"
"Est","PO",-0.0174127858156093,0.109775160416881,0.140067879862601,-0.0161427817145221
"SE","PO",0.0239685130042627,0.164928697992452,0.161128581559818,0.0284198533084793
"t","PO",-0.726485861367891,0.665591626885361,0.869292576814512,-0.568010733176648
"p","PO",0.467540971905762,0.50567215977456,0.384687122058675,0.570027679908508
"Est1","OV",-0.0594660677713334,1.43544479596442,0.43040726419605,0.0363887667917036
"SE1","OV",0.0453125243086532,0.257593307664658,0.254728527487127,0.152753354292151
"t1","OV",-1.31235389505716,5.57252363804855,1.68967044422538,0.238219101376377
"p1","OV",0.189400755362142,0.0000000251075411572543,0.0910910207017408,0.81171116275672
"Est2","HS",0.0561189306909608,2.45875286552583,-0.088111186726967,0.0419045405630043
"SE2","HS",0.0382768372731644,0.261637773729756,0.258644785301885,0.0362875962137199
"t2","HS",1.46613290670975,9.39754543266165,-0.340664848990191,1.15478965088243
"p2","HS",0.142612082458267,0,0.733355903846031,0.248176576145651
"Est3","ET",-0.151565522653575,1.63769029880198,-1.07427440661105,1.21637024487111
"SE3","ET",0.178209214244716,0.816196106820413,0.756124688664625,0.450762102123897
"t3","ET",-0.850492065160253,2.00649119141451,-1.42076356283023,2.6984749586086
"p3","ET",0.395051570105126,0.0448038676285958,0.155385506825459,0.00696579783604578
"Est4","ED",0.0660303164383787,0.0920303758591537,1.56426447819803,0.113256220413667
"SE4","ED",0.0320488938286715,0.447548531710762,0.474643474261242,0.0604222989970348
"t4","ED",2.06029939102943,0.205632170230491,3.29566203482041,1.87441097564369
"p4","ED",0.0393699281156061,0.837078246298709,0.000981900607979203,0.060873801873577
"Est5","BR",0.0296277943258984,-1.56667842147741,-0.376852599668316,-0.058499878016968
"SE5","BR",0.0244040094990589,0.216293887056555,0.21317120154614,0.032032079527236
"t5","BR",1.21405436787102,-7.2432857109261,-1.76784010661378,-1.82629035892681
"p5","BR",0.224726963679009,0.000000000000437871960912162,0.0770876379023957,0.0678065366951084
"Est6","AA",0.0292024696545076,1.12115591423389,-0.0156409868855075,-0.0256141765448726
"SE6","AA",0.0592458343104596,0.405343414083977,0.405734599363309,0.0813584832614791
"t6","AA",0.492903340705458,2.76594086712265,-0.0385497980947442,-0.314831047950475
"p6","AA",0.622080886697074,0.00567588259579344,0.969249327828722,0.75288993672858
