"","SppCode","sYryly_Temp","poly.sDOY..2.1","poly.sDOY..2.2","Ldens"
"Est","PO",-0.412643408285836,-5.81127052965907,-0.337963759191239,-0.163600727076365
"SE","PO",0.402430679238259,2.10559949020639,2.0635276350842,0.388127331942878
"t","PO",-1.0253776105413,-2.75991258389289,-0.163779613824967,-0.421513028359577
"p","PO",0.305185048343708,0.0057816829842543,0.869904640767864,0.673380499674215
"Est1","OV",-0.921680944129513,2.22434336751374,-6.47408125397437,3.03357262921487
"SE1","OV",0.511917781564919,2.79947691497527,2.73588599394914,1.67147915635931
"t1","OV",-1.80044721500386,0.794556781524093,-2.36635637168101,1.81490305617832
"p1","OV",0.0717900512521168,0.426871366875436,0.0179641430855741,0.0695388088093409
"Est2","HS",-0.00708789421802478,27.2863287550274,0.832500001139619,-0.0898330506911019
"SE2","HS",0.354485210451593,2.50044919355203,2.47917122258962,0.343969092937632
"t2","HS",-0.0199948940295569,10.9125707594425,0.335797702697609,-0.261166053972734
"p2","HS",0.984047445726675,0,0.73702342267016,0.793964454882494
"Est3","GR",-1.19485499960696,-15.3525376354121,-8.58603593518839,0.942160160960339
"SE3","GR",0.480218878241214,3.24330717809624,3.30589498767926,0.726191483331823
"t3","GR",-2.48814666341955,-4.73360578951506,-2.5971895559864,1.29739907804707
"p3","GR",0.0128410765478952,0.00000220565918507276,0.00939900392077941,0.194493909585213
"Est4","ET",-3.0080820013229,17.4845750666673,-16.2174620699627,20.1999656174067
"SE4","ET",2.96369145249087,10.375760524008,8.36793817435811,7.10402631722388
"t4","ET",-1.01497812763023,1.68513672093824,-1.93804754911525,2.84345309482194
"p4","ET",0.310116253804622,0.0919621963356547,0.0526174216964541,0.00446275776153704
"Est5","ED",0.0137811457689137,9.60677154110734,11.1911282626076,0.412033888981783
"SE5","ED",0.383385655042764,5.5770160925416,5.90912071147182,0.744892788177919
"t5","ED",0.03594590874136,1.72256478763885,1.89387369272749,0.553145225086228
"p5","ED",0.971325489619917,0.0849672573120301,0.05824177712458,0.580163970724935
"Est6","BR",-0.031637402153889,-10.542150466175,-4.94644771112169,-0.849725449779001
"SE6","BR",0.200675634677233,1.72861870373774,1.69233354840247,0.262287554210507
"t6","BR",-0.157654426780683,-6.09859794029766,-2.9228562630523,-3.2396712544623
"p6","BR",0.874729113439606,0.00000000107002828819702,0.00346836586092758,0.001196675811999
"Est7","AF",0.258239789525689,-0.17871852042142,-3.98746845295085,-0.200486439057304
"SE7","AF",0.119007221441137,1.19621469308738,1.23665331106989,0.272199835287179
"t7","AF",2.16995058281752,-0.149403381729207,-3.22440284375343,-0.736541368020242
"p7","AF",0.0300105897823342,0.881235343447193,0.00126235683030695,0.461401301784284
"Est8","AA",0.00719291446576182,5.67069868389826,-0.524361452290434,0.316521473738088
"SE8","AA",0.385378992561454,2.63665519068444,2.63919975083129,0.529216115876376
"t8","AA",0.0186645214311073,2.15071682635386,-0.198681987646168,0.598094926141718
"p8","AA",0.985108731118258,0.0314985574335263,0.842511514898778,0.549776595592382
