"","SppCode","sYryly_Temp","poly.sDOY..2.1","poly.sDOY..2.2","Ldens"
"Est","PO",0.00253152093735911,-4.01053201414224,1.6834881992014,0.172573950479935
"SE","PO",0.029602665140535,0.507793412402552,0.4941058216211,0.0429209256775156
"t","PO",0.0855166561977113,-7.89795991083652,3.40714099193991,4.02074157898087
"p","PO",0.931850654246092,0.00000000000000288657986402541,0.000656472066033364,0.0000580152202525053
"Est1","OV",-4.24080182713849,-9.68381091641079,-33.8049149009351,0.42542777358889
"SE1","OV",2.03694541680547,14.8336369092972,14.2706437588332,4.50189214608117
"t1","OV",-2.08194180960888,-0.652827824735372,-2.36884302293726,0.0944997702708666
"p1","OV",0.037347785224344,0.513867283300698,0.0178438251288697,0.924712164927219
"Est2","HS",-0.192039173445661,60.6842610868449,7.44875368098134,0.320789583434347
"SE2","HS",0.167382942477922,2.86614142060912,2.76280987589165,0.304282468826046
"t2","HS",-1.14730432266712,21.172807681607,2.69607899768252,1.05424931206844
"p2","HS",0.251255868112451,0,0.00701610252291451,0.291768788674414
"Est3","GR",-2.24344874977543,-65.3143820255158,-39.1275563246074,3.20922671374583
"SE3","GR",1.09351334331079,11.1159236998323,10.8399840655393,1.85819490675704
"t3","GR",-2.05159705046034,-5.87574940141964,-3.60955847241467,1.72706679050512
"p3","GR",0.0402088390851523,0.00000000420934709310927,0.000306718631460479,0.0841556689890044
"Est4","ET",-0.235034341445671,-0.604071744778749,-1.01393889453626,0.227841158803025
"SE4","ET",0.106689302832873,0.518972662688462,0.55433593687371,0.21297175555062
"t4","ET",-2.20297944784444,-1.16397603998917,-1.8291054703301,1.06981866310845
"p4","ET",0.027596197234643,0.244433721816149,0.0673838096440993,0.284700939968803
"Est5","ED",0.168586322985809,7.70370356378388,-11.4133007634605,-0.733894023394718
"SE5","ED",0.330188741448739,7.84427716560715,8.07765247293236,0.770343081140865
"t5","ED",0.510575624856613,0.982079470312496,-1.41294773471695,-0.952684643195384
"p5","ED",0.609648247580963,0.326060698574707,0.157671092192786,0.340749876468224
"Est6","BR",-0.0533815462977908,-7.15321955199468,-0.700079008453287,-0.199823957199279
"SE6","BR",0.0484274388086248,0.923871264205259,0.901763501827366,0.100949000867167
"t6","BR",-1.10229959731597,-7.74265834336571,-0.776344359729155,-1.97945453132534
"p6","BR",0.270331444381123,0.00000000000000976996261670138,0.437545687668692,0.0477648540784925
"Est7","AF",0.0984472817648827,-1.79132498146409,-3.35337181401806,-0.243351114138413
"SE7","AF",0.054985142838117,0.746615445461989,0.761976101029206,0.12967328264581
"t7","AF",1.79043422792814,-2.39926054617803,-4.40088843926816,-1.87664805866836
"p7","AF",0.0733841319453878,0.0164282206939557,0.0000107808545923849,0.0605663459427586
"Est8","AA",0.0560196269697556,3.22039842592426,-0.750722431754485,-0.0664200827698213
"SE8","AA",0.146145795754706,2.07166074316941,2.00007852691801,0.301519937100938
"t8","AA",0.38331329806969,1.5545008691903,-0.375346478476172,-0.220284215393645
"p8","AA",0.701487480446246,0.120064989495072,0.707402803826501,0.825649812541389
