"","Value","Std.Error","p.value","spp","site"
"1",1.30982162611651,0.327634328565205,0.000165904882282182,"PO","W1"
"2",0.817381704665064,0.287596989145839,0.00531891084552476,"PO","O3"
"3",1.01864437633787,0.207360777513183,0.00000217235874894689,"PO","Bieb"
"4",1.17817850218879,0.20663979088807,0.0000000572923952307766,"PO","Auba"
"5",-0.490719226070534,0.628653432220074,0.444661928203839,"OV","O3"
"6",0.298607380302271,0.297775246514188,0.320694345113835,"OV","Bieb"
"7",-1.25037983379501,2.00383743096258,0.548120326883711,"OV","Auba"
"8",-0.0920349250874981,0.37070462090679,0.805376263524655,"HS","W1"
"9",-0.554420095058689,0.725901443910086,0.456121535385495,"HS","O3"
"10",0.183368107999443,0.158415193128767,0.249090509687792,"HS","Bieb"
"11",-0.277660712191109,0.131355313706073,0.0358290568740299,"HS","Auba"
"12",-1.31552263052705,0.451378722802352,0.00447367035053702,"GR","W1"
"13",-0.969356292398619,0.366987474692768,0.00950550333672712,"GR","O3"
"14",-5.83613712912657,2.57258472634014,0.151387866546844,"ET","W1"
"15",-4.47512025169134,3.36268944708334,0.204518713534302,"ET","O3"
"16",3.92636537293932,3.8234158366381,0.312155664152832,"ET","Bieb"
"17",-0.657343513168512,5.20501631190958,0.907490755058887,"ET","Auba"
"18",-0.127768607704656,0.347298136961317,0.713169110091278,"ED","W1"
"19",-1.58283075570594,0.953677797596941,0.103926496149707,"ED","O3"
"20",-0.220470985683918,0.990629582948342,0.824470034826828,"ED","Bieb"
"21",-0.785200585679578,0.354536283978827,0.0274152070366343,"ED","Auba"
"22",-0.0508369480592696,0.328305447862705,0.877666896463767,"BR","W1"
"23",-0.627832817703408,0.175754374789777,0.000511999936507178,"BR","O3"
"24",-0.350808964570944,0.132531418642433,0.0088176609946425,"BR","Bieb"
"25",-0.14784542361368,0.0885100250923136,0.0960028710582817,"BR","Auba"
"26",0.166448360656199,0.220015588211066,0.453764570731153,"AF","W1"
"27",-0.132830601535457,0.10655917164511,0.214250258919794,"AF","O3"
"28",0.114663931050496,0.332081253778132,0.737810134109969,"AF","Bieb"
"29",0.268847336191395,0.17607485305126,0.133490017509304,"AF","Auba"
"30",-0.483661304066908,0.220432333423991,0.0294982569979395,"AA","W1"
"31",0.260956957708377,0.247210151243317,0.293061196042435,"AA","O3"
