"","Value","Std.Error","p.value","spp","site"
"1",0.217885785978188,0.0733962513656821,0.00418512432388845,"PO","W1"
"2",0.117932834468458,0.0668197029153645,0.0802753010995294,"PO","O3"
"3",0.176778220386043,0.0411229011967097,0.0000294679425069389,"PO","Bieb"
"4",0.137912997524457,0.0328955316385328,0.0000459554814904196,"PO","Auba"
"5",-1.98349070480519,3.19819478023578,0.542499964699664,"OV","O3"
"6",1.65229980549345,1.83857348814092,0.373043549207683,"OV","Bieb"
"7",-4.80934040891741,11.9433943966126,0.69658227696771,"OV","Auba"
"8",-0.0177789760490672,0.526944623518177,0.973276372956735,"HS","W1"
"9",-0.496781024887983,0.940521719248602,0.60461183775777,"HS","O3"
"10",0.119254531648871,0.229341879373888,0.603918811698265,"HS","Bieb"
"11",-0.416729219186937,0.162629023604723,0.0111642020937223,"HS","Auba"
"12",-4.02497282897539,1.35127750058691,0.00370177947748206,"GR","W1"
"13",-3.50812996584387,1.17014533579096,0.00338563341931239,"GR","O3"
"14",-0.254335956721742,0.119036841029971,0.16611752427592,"ET","W1"
"15",-0.225501064280156,0.183018439908772,0.238196814585813,"ET","O3"
"16",0.166339025476561,0.21940340310273,0.453913371002333,"ET","Bieb"
"17",-0.0346889562460573,0.221652162700734,0.885576342569226,"ET","Auba"
"18",-0.61484556385541,0.447476922737156,0.170288037655215,"ED","W1"
"19",-2.57972809339691,1.22462879341863,0.040765933210527,"ED","O3"
"20",-0.517866453660045,1.46969970587593,0.725529355009373,"ED","Bieb"
"21",-0.737028731834045,0.526750775983944,0.162629149982509,"ED","Auba"
"22",0.0821096016729986,0.233975848903421,0.727352974884291,"BR","W1"
"23",-0.402120264005629,0.127381279627361,0.00202103985087344,"BR","O3"
"24",-0.0995617736334631,0.0657878732125666,0.131881565749575,"BR","Bieb"
"25",-0.0649374304610662,0.0344257291150741,0.0603269586906017,"BR","Auba"
"26",0.0329358466683826,0.152466494089864,0.830069828466356,"AF","W1"
"27",-0.0131956613861489,0.0666199645278068,0.843219975843862,"AF","O3"
"28",0.0967928778702063,0.145822380423583,0.52347380398446,"AF","Bieb"
"29",0.183708484353024,0.0956412986169065,0.0608339719190467,"AF","Auba"
"30",-0.361418418392115,0.171473925074221,0.03643252645955,"AA","W1"
"31",0.229558163572165,0.192636271243331,0.235514199396034,"AA","O3"
