"","SppCode","syr","poly.sDOY..2.1","poly.sDOY..2.2","Ldens"
"Est","PO",0.146304964891554,-3.7425065643884,1.91385849163102,0.156299922044942
"SE","PO",0.0249521220907953,0.488501161900559,0.478137955684472,0.041368190494844
"t","PO",5.86342774210474,-7.66120299453911,4.0027328282091,3.7782634477189
"p","PO",0.00000000453408199874161,0.0000000000000184297022087776,0.0000626149979727764,0.000157925764535438
"Est1","OV",-1.92145486815124,-16.3825127929452,-37.3782046155716,-1.20349717893234
"SE1","OV",1.67165341204036,14.9003199618741,14.7104346773138,4.96879133249726
"t1","OV",-1.14943376079733,-1.09947389283342,-2.54093134808693,-0.242211253884045
"p1","OV",0.250377165588515,0.271561415407102,0.0110557625537888,0.808616475302683
"Est2","HS",-0.148500085748957,59.8152287887572,7.47212188021077,0.306268954723908
"SE2","HS",0.12979181656648,2.99593060858658,2.76794929301019,0.306449079298324
"t2","HS",-1.14414059127444,19.9654920635752,2.69951544960735,0.999412220213457
"p2","HS",0.2525653361218,0,0.00694405315082847,0.317595042461799
"Est3","GR",-4.19686361347753,-63.845318105476,-31.4088360300977,3.51527450067534
"SE3","GR",0.917464506455625,10.3981850176424,10.2919245569094,1.57584035370463
"t3","GR",-4.57441523235702,-6.14004444017402,-3.05179423502591,2.23073009420739
"p3","GR",0.00000477551902955398,0.000000000824984081049251,0.00227477979131319,0.0256990129384886
"Est4","ET",-0.0875657872820975,-1.07445792038918,-0.781786472608123,0.102305457040992
"SE4","ET",0.109126590446919,0.48474034367835,0.562967703883121,0.212248656482112
"t4","ET",-0.802423927325862,-2.2165638457816,-1.38868796063376,0.482007560079014
"p4","ET",0.422307776767168,0.026652910463941,0.1649276567387,0.629800575740608
"Est5","ED",-0.899758762705487,3.76250821024825,-13.4804031423788,0.261235680457539
"SE5","ED",0.371920021791545,7.98019652135691,8.08565571582062,0.827260759239733
"t5","ED",-2.41922647339966,0.47148064589373,-1.66719974435749,0.315783962359847
"p5","ED",0.0155535532395552,0.637297537524447,0.0954746935641568,0.752166491897949
"Est6","BR",-0.144054193377022,-8.96501641471919,-1.12111633916024,-0.24282991003079
"SE6","BR",0.03742259181411,1.00839416336134,0.898371643241977,0.100386920340699
"t6","BR",-3.84939114031934,-8.89038903679846,-1.24794270566515,-2.41893973046149
"p6","BR",0.00011841179373806,0,0.212052039807373,0.0155658190194847
"Est7","AF",-0.011344394371917,-2.0359248813479,-3.60835645740327,-0.13384257723758
"SE7","AF",0.047828225170506,0.760615278306358,0.770614411891597,0.119284174139531
"t7","AF",-0.23719036889775,-2.67668154902337,-4.68244092210263,-1.1220480688496
"p7","AF",0.812509107663013,0.00743552698474925,0.00000283478901907941,0.261842002350271
"Est8","AA",-0.116084990022632,2.76717408557752,-0.705129939731485,0.0110001819134452
"SE8","AA",0.137035482703811,2.0126659975986,1.99589794512512,0.301376067644614
"t8","AA",-0.847116292307583,1.37487992984388,-0.353289576480466,0.0364998521595176
"p8","AA",0.396930304844321,0.169168672469412,0.723871359120387,0.970883796591791
