"","(Intercept)","LA_sub$syr","poly(LA_sub$sDOY, 2)1","poly(LA_sub$sDOY, 2)2","LA_sub$Ldens"
"Est",4.92244736978316,-0.109496357123252,-11.1549224888129,-8.31476818767556,0.0866785060391812
"SE",1.17944815288538,0.425052954137156,4.81603168217512,4.75998504793721,0.733119682102658
"t",4.17351738416052,-0.257606390115618,-2.3162062097928,-1.7468055264751,0.118232408916616
"p",0.0000299932763598854,0.796710697529003,0.0205470123017397,0.080671077636796,0.905883511441953
