"","(Intercept)","BW_sub$syr","poly(BW_sub$sDOY, 2)1","poly(BW_sub$sDOY, 2)2","BW_sub$Ldens"
"Est",3.86489646078609,-0.0405157844166602,-4.56188452552427,-5.37739001401103,-0.239992724949901
"SE",0.194588358433319,0.0596642238873625,0.94521488963356,0.965494829122355,0.154787535453845
"t",19.8619099924752,-0.679063294163486,-4.82629355034051,-5.56956894207205,-1.55046544443149
"p",0,0.497097758602678,0.0000013909744067675,0.000000025537032932732,0.12102984125404
