"","SppCode","syr","poly.sDOY..2.1","poly.sDOY..2.2","Ldens"
"Est","PO",0.990780546361522,-17.825692997035,8.65494527344777,0.628450764170959
"SE","PO",0.126012207467521,2.46654660915662,2.41402761062717,0.208998891712741
"t","PO",7.86257590651994,-7.22698404759927,3.58527186488939,3.00695740068676
"p","PO",0.00000000000000377475828372553,0.00000000000049382720135327,0.000336727246229351,0.00263876738483293
"Est1","OV",-0.344963893210381,-3.65110063971278,-7.80725657201484,0.241999419513866
"SE1","OV",0.289691036564274,2.56560207919951,2.53503286017456,0.865180691484768
"t1","OV",-1.19079933332298,-1.42309700686396,-3.07974570849438,0.279709685960007
"p1","OV",0.233732370686168,0.154708035930078,0.00207177400720049,0.779700246523141
"Est2","HS",-0.0422129196360068,52.0976994883338,3.42437549045602,0.459364276496915
"SE2","HS",0.0977627873171412,2.25646974738223,2.0834024534704,0.230510421340097
"t2","HS",-0.43178924000058,23.0881444560794,1.64364570309107,1.99281348681049
"p2","HS",0.665894600597209,0,0.10024940762783,0.0462818743770543
"Est3","GR",-1.27617547520314,-24.6025941824467,-9.57773030442286,1.12727062935589
"SE3","GR",0.30092096927604,3.41052094353896,3.37566836819192,0.516862944914406
"t3","GR",-4.24089912468839,-7.21373496593093,-2.83728413450546,2.18098557934459
"p3","GR",0.0000222626180548247,0.000000000000544453371276177,0.00454991017956852,0.0291844831136781
"Est4","ET",-1.75465062871414,-20.1250282484675,-16.0247523161547,2.71153104309222
"SE4","ET",1.96498833032895,8.72549316228801,10.1349299047592,3.82058331460276
"t4","ET",-0.892957276962759,-2.30646312754548,-1.58114091234412,0.709716506568095
"p4","ET",0.37188005217088,0.0210847681513564,0.113845822007499,0.477879953979848
"Est5","ED",-0.641658940669478,5.29585555031078,-3.39440359582631,0.362366625027049
"SE5","ED",0.265204668280227,5.68952250336279,5.76484596884444,0.590018572837482
"t5","ED",-2.41948584401038,0.930808437295163,-0.588810805036429,0.614161386961731
"p5","ED",0.015542465671142,0.351952664471725,0.555988196772932,0.539108686416831
"Est6","BR",-0.327439479843154,-20.2302688867228,-4.07781130411293,-0.526053012730051
"SE6","BR",0.0681578560477237,1.83599793147055,1.63622653727805,0.182489533130594
"t6","BR",-4.80413409151079,-11.0186773851751,-2.49220460077404,-2.88264758918306
"p6","BR",0.00000155422647796222,0,0.0126952883368574,0.00394348350472074
"Est7","AF",-0.0834170350744266,-6.10632898149015,-7.07346444384719,-0.414194370942348
"SE7","AF",0.0802371742251741,1.26624113421602,1.30071014799519,0.213545619002413
"t7","AF",-1.03963076815652,-4.82240610929987,-5.4381558064644,-1.9396060330213
"p7","AF",0.298511476501204,0.00000141836798728256,0.0000000538348881029549,0.0524275871212145
"Est8","AA",-0.203945855287138,5.56901584411045,-0.536766905474159,0.0454993566925568
"SE8","AA",0.175226053353384,2.5764177002118,2.55845295825339,0.382359708290852
"t8","AA",-1.16390143693891,2.16153453830589,-0.209801358177248,0.118996211436448
"p8","AA",0.244463957213886,0.0306540719680641,0.833822712983552,0.905278357291351
