"","(Intercept)","BW_sub$syr","BW_sub$sDOY","BW_sub$Ldens"
"Est",3.90293904877494,0.00692304072499077,-0.243023089262769,-0.380194730869364
"SE",0.247029760537557,0.0625703476153533,0.0603238984335194,0.170521517621721
"t",15.7994690205821,0.110644114805781,-4.02863700081645,-2.22959973715913
"p",0,0.911898563673552,0.0000561011642759013,0.0257740273251312
