"","Value","Std.Error","p.value","spp","site"
"1",0.43576923787383,0.357897532482103,0.227785027938852,"PO","W1"
"2",0.767413612664894,0.271721335102963,0.0056031118446666,"PO","O3"
"3",-0.199269993993436,0.308711000712503,0.519517019477712,"PO","Bieb"
"4",-0.0956853199573551,0.314466843758694,0.76131908656437,"PO","Auba"
"5",-1.64454773799155,0.89915325915884,0.0831411789433306,"OV","O3"
"6",0.0369189795102522,0.452259442260759,0.93525864443553,"OV","Bieb"
"7",0.795491075917687,1.21136633698973,0.527813239239883,"OV","Auba"
"8",0.079542257227989,0.285696447614019,0.782331900410218,"HS","W1"
"9",-0.249986590386532,0.833287668572834,0.768039406839031,"HS","O3"
"10",-0.0940296120605443,0.227053914683406,0.679432033334003,"HS","Bieb"
"11",-0.121960763854434,0.22418290832185,0.587059806230308,"HS","Auba"
"12",-1.27755396222777,0.500728679527592,0.0123793298309465,"GR","W1"
"13",-0.139010032544597,0.378881676824938,0.714428272911285,"GR","O3"
"14",-9.3412168470307,4.15703743842545,0.153662263039825,"ET","W1"
"15",-9.26767015288207,5.97000645368181,0.142881295496821,"ET","O3"
"16",0.506358555957564,2.49188645777362,0.840263067942959,"ET","Bieb"
"17",-7.00718776732052,5.87135369305079,0.318466919958188,"ET","Auba"
"18",0.9586103285933,0.319796253803584,0.00291040048842537,"ED","W1"
"19",0.295878065544046,0.995537299296827,0.767678124959968,"ED","O3"
"20",1.51288075276982,1.01354750924865,0.139612683800721,"ED","Bieb"
"21",-1.10659811175856,0.36673821111098,0.00273404747376428,"ED","Auba"
"22",0.0880166659903758,0.368986199031496,0.812598190781697,"BR","W1"
"23",-0.140592157908144,0.211490290261164,0.507484560160254,"BR","O3"
"24",-0.0418192992595501,0.159749468401732,0.793780324683065,"BR","Bieb"
"25",-0.660017506473352,0.133178500245792,0.00000127275082954744,"BR","Auba"
"26",0.124935098083609,0.163830316534275,0.45018277902856,"AF","W1"
"27",-0.0342339928678721,0.105255549870696,0.745387573396731,"AF","O3"
"28",-0.0259907402277753,0.315744414650409,0.936197277343278,"AF","Bieb"
"29",-0.00476789468336564,0.410246264282703,0.990776363213814,"AF","Auba"
"30",-0.175507515193533,0.252975957881672,0.488714902882576,"AA","W1"
"31",0.138616443270767,0.256112665889432,0.589252907518014,"AA","O3"
